ARQUIVO,PARTIDO,FUSAO_MENCIONA,FUSAO_INSTANCIA,FUSAO_QUORUM,FUSAO_MAJ,FUSAO_VOTO,FUSAO_CRIA,FUSAO_REJEITA,INCORPORACAO_MENCIONA,INCORPORACAO_INSTANCIA,INCORPORACAO_QUORUM,INCORPORACAO_MAJ,INCORPORACAO_VOTO,INCORPORACAO_CRIA,INCORPORACAO_REJEITA,DISSOLUCAO_MENCIONA,DISSOLUCAO_INSTANCIA,DISSOLUCAO_QUORUM,DISSOLUCAO_MAJ,DISSOLUCAO_VOTO,DISSOLUCAO_CRIA,DISSOLUCAO_REJEITA,ESTATUTO_MENCIONA,ESTATUTO_INSTANCIA,ESTATUTO_QUORUM,ESTATUTO_MAJ,ESTATUTO_VOTO,ESTATUTO_CRIA,ESTATUTO_REJEITA,FEDERACAO_MENCIONA,FEDERACAO_INSTANCIA,FEDERACAO_MAJ,FEDERACAO_VOTO,FEDERACAO_CRIA,FEDERACAO_REJEITA,ID
tse-estatuto-do-partido-patriota-de-7-11-2018-aprovado-em-28-3-2019,PATRI,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,CONVENÇÃO NACIONAL,QUORUM 30%,MAIORIA ABSOLUTA,"ABERTO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,49
estatuto-patriota-aprovado-em-29-10-2021,PATRI,1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,COMISSÃO EXECUTIVA NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",COMISSÃO EXECUTIVA NACIONAL,"COMISSÃO EXECUTIVA NACIONAL, PRESIDENTE NACIONAL, SECRETÁRIO GERAL, PRIMEIRO SECRETÁRIO NACIONAL",1,CONVENÇÃO NACIONAL,QUORUM 30%,MAIORIA ABSOLUTA,"ABERTO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,50
estatuto-do-partido-comunista-brasileiro-de-21-1.1996,PCB,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,QUORUM MAIORIA,2/3 SIMPLES,"SECRETO OU ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,51
estatuto-do-partido-pcb-de-23-3-2008-resolucao-tse-no-no-23-072-dje-de-24-6-2009,PCB,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,MAIORIA ABSOLUTA,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,52
tse-estatuto-do-partido-de-25-6-2017-aprovado-em-21-8-2018,PCB,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,MAIORIA ABSOLUTA,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,53
tse-estatuto-do-partido-de-30-6-1999-resolucao-tse.1999,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,54
tse-estatuto-do-partido-de-6-8-2000-resolucao-tse.2001,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,55
tse-estatuto-do-partido-de-9-a-12-12-2001.2006,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,56
tse-estatuto-do-partido-de-20-10-2005-resolucao-tse-no.2006,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, SEM INFORMAÇÃO, SEM INFORMAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,57
tse-estatuto-do-partido-comunista-do-brasil.2011,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,58
tse-estatuto-do-partido-de-17-19-11-2017-aprovado-em-12-2-2019,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,59
tse-estatuto-do-partido-de-17-3-2019-aprovado-em-28-5-2019,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,60
estatuto-pc-do-b-fev-2022,PCDOB,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"ABERTO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,61
estatuto-do-partido-da-causa-operaria-de-9-12.1995,PCO,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,0,NÃO MENCIONA ALTERAÇÃO ESTATUTO,NÃO MENCIONA ALTERAÇÃO ESTATUTO,NÃO MENCIONA ALTERAÇÃO ESTATUTO,"NÃO MENCIONA ALTERAÇÃO ESTATUTO, NÃO MENCIONA ALTERAÇÃO ESTATUTO, NÃO MENCIONA ALTERAÇÃO ESTATUTO",NÃO MENCIONA ALTERAÇÃO ESTATUTO,NÃO MENCIONA ALTERAÇÃO ESTATUTO,0,NA,NA,NA,NA,NA,62
estatuto-do-partido-de-14-1-1996-resolucao-tse-no.1997,PDT,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO","EXECUTIVA NACIONAL, 1/3 DO COMISSÃO EXECUTIVA NACIONAL, 3 DIRETÓRIOS ESTADUAIS, 3% DOS FILIADOS EM PELO MENOS 3 ESTADOS",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,63
estatuto-do-partido-de-27-8-1999-resolucao-tse-no.2000,PDT,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU ACLAMAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO","EXECUTIVA NACIONAL, 1/3 DO COMISSÃO EXECUTIVA NACIONAL, 3 DIRETÓRIOS ESTADUAIS, 3% DOS FILIADOS EM PELO MENOS 3 ESTADOS",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,64
tse-estatuto-do-partido-pdt-aprovado-em-26-5-2015,PDT,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU ACLAMAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO","EXECUTIVA NACIONAL, 1/3 DO COMISSÃO EXECUTIVA NACIONAL, 3 DIRETÓRIOS ESTADUAIS, 3% DOS FILIADOS EM PELO MENOS 3 ESTADOS",CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,65
tse-estatuto-partido-pdt-de-18-3-2019-aprovado-em-26-9-2019,PDT,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU ACLAMAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/5 ABSOLUTO,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,QUORUM MAIORIA,MAIORIA SIMPLES,"SECRETO OU DECLARAÇÃO, CUMULATIVO COM LIMITES, SEM PROCURAÇÃO",CONSELHO POLÍTICO,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,66
estatuto-do-partido-da-republica-de-26-10.2006,PL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,67
estatuto-do-partido-da-republica-de-19-04.2009,PL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,68
estatuto-do-partido-da-republica-de-28-3.2010,PL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,69
tse-estatuto-do-partido-pr-de-21-10-2012-aprovado-em-3-9-2014,PL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,3/4 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,70
